team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Stati Uniti;985806;16;Alex Freeman;Terzino destro;09/08/2004;21;Villarreal CF;1,88m;destro;17;2;07/06/2025;3,50 mln €;https://www.transfermarkt.com/alex-freeman/profil/spieler/985806
Stati Uniti;467437;17;Malik Tillman;Trequartista;28/05/2002;24;Bayer 04 Leverkusen;1,87m;destro;29;3;02/06/2022;30,00 mln €;https://www.transfermarkt.com/malik-tillman/profil/spieler/467437
Stati Uniti;993063;18;Max Arfsten;Ala sinistra;19/04/2001;25;Columbus Crew;1,85m;sinistro;19;1;18/01/2025;5,00 mln €;https://www.transfermarkt.com/max-arfsten/profil/spieler/993063
Stati Uniti;315291;19;Haji Wright;Punta centrale;27/03/1998;28;Coventry City;1,91m;destro;20;7;02/06/2022;16,00 mln €;https://www.transfermarkt.com/haji-wright/profil/spieler/315291
Stati Uniti;503770;20;Folarin Balogun;Punta centrale;03/07/2001;24;AS Monaco;1,79m;destro;26;9;16/06/2023;40,00 mln €;https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770
Stati Uniti;370846;21;Timothy Weah;Esterno di destra;22/02/2000;26;Olympique Marsiglia;1,83m;destro;50;7;28/03/2018;20,00 mln €;https://www.transfermarkt.com/timothy-weah/profil/spieler/370846
Stati Uniti;429259;22;Mark McKenzie;Difensore centrale;25/02/1999;27;FC Tolosa;1,86m;destro;28;-;01/02/2020;7,00 mln €;https://www.transfermarkt.com/mark-mckenzie/profil/spieler/429259
Stati Uniti;504153;23;Joe Scally;Terzino destro;31/12/2002;23;Borussia Mönchengladbach;1,84m;destro;25;-;02/06/2022;7,00 mln €;https://www.transfermarkt.com/joe-scally/profil/spieler/504153
Stati Uniti;500309;24;Matt Freese;Portiere;02/09/1998;27;New York City FC;1,98m;destro;15;-;07/06/2025;2,00 mln €;https://www.transfermarkt.com/matt-freese/profil/spieler/500309
Stati Uniti;765504;25;Chris Brady;Portiere;03/03/2004;22;Chicago Fire FC;1,93m;destro;1;-;31/05/2026;2,50 mln €;https://www.transfermarkt.com/chris-brady/profil/spieler/765504
Stati Uniti;351505;26;Álex Zendejas;Ala destra;07/02/1998;28;CF América;1,67m;sinistro;14;2;26/01/2023;10,00 mln €;https://www.transfermarkt.com/alex-zendejas/profil/spieler/351505
Sudafrica;175577;1;Ronwen Williams;Portiere;21/01/1992;34;Mamelodi Sundowns FC;1,84m;destro;62;-;05/03/2014;800 mila €;https://www.transfermarkt.com/ronwen-williams/profil/spieler/175577
Sudafrica;1109254;2;Thabang Matuludi;Terzino destro;14/01/1999;27;Polokwane City FC;1,89m;destro;3;-;15/11/2025;1,20 mln €;https://www.transfermarkt.com/thabang-matuludi/profil/spieler/1109254
Sudafrica;1283140;3;Khulumani Ndamane;Difensore centrale;05/02/2004;22;Mamelodi Sundowns FC;1,83m;destro;5;-;06/06/2025;1,20 mln €;https://www.transfermarkt.com/khulumani-ndamane/profil/spieler/1283140
Sudafrica;436372;4;Teboho Mokoena;Mediano;24/01/1997;29;Mamelodi Sundowns FC;1,77m;destro;51;9;24/03/2018;2,80 mln €;https://www.transfermarkt.com/teboho-mokoena/profil/spieler/436372
Sudafrica;735697;5;Thalente Mbatha;Centrocampista;06/03/2000;26;Orlando Pirates;1,79m;destro;15;3;06/09/2024;2,00 mln €;https://www.transfermarkt.com/thalente-mbatha/profil/spieler/735697
